rows,cols,implementation,sample,order_slot,elapsed_ms,seed
1,128,warp_wrapper,0,0,0.021465,20260829
1,128,workspace_fresh,0,1,0.027804,20260829
1,128,workspace_reuse,0,2,0.021888,20260829
1,128,workspace_fresh,1,0,0.037894,20260829
1,128,workspace_reuse,1,1,0.021834,20260829
1,128,warp_wrapper,1,2,0.021576,20260829
1,128,workspace_reuse,2,0,0.022866,20260829
1,128,warp_wrapper,2,1,0.021824,20260829
1,128,workspace_fresh,2,2,0.026884,20260829
1,128,warp_wrapper,3,0,0.02237,20260829
1,128,workspace_fresh,3,1,0.028527,20260829
1,128,workspace_reuse,3,2,0.02244,20260829
1,128,workspace_fresh,4,0,0.02658,20260829
1,128,workspace_reuse,4,1,0.023343,20260829
1,128,warp_wrapper,4,2,0.022118,20260829
1,128,workspace_reuse,5,0,0.022112,20260829
1,128,warp_wrapper,5,1,0.022201,20260829
1,128,workspace_fresh,5,2,0.027647,20260829
1,128,warp_wrapper,6,0,0.022377,20260829
1,128,workspace_fresh,6,1,0.027261,20260829
1,128,workspace_reuse,6,2,0.022489,20260829
1,128,workspace_fresh,7,0,0.034318,20260829
1,128,workspace_reuse,7,1,0.025988,20260829
1,128,warp_wrapper,7,2,0.023191,20260829
1,128,workspace_reuse,8,0,0.023237,20260829
1,128,warp_wrapper,8,1,0.02135,20260829
1,128,workspace_fresh,8,2,0.026623,20260829
1,128,warp_wrapper,9,0,0.022163,20260829
1,128,workspace_fresh,9,1,0.026621,20260829
1,128,workspace_reuse,9,2,0.022651,20260829
1,128,workspace_fresh,10,0,0.027245,20260829
1,128,workspace_reuse,10,1,0.023164,20260829
1,128,warp_wrapper,10,2,0.023937,20260829
1,128,workspace_reuse,11,0,0.02259,20260829
1,128,warp_wrapper,11,1,0.021859,20260829
1,128,workspace_fresh,11,2,0.028559,20260829
1,128,warp_wrapper,12,0,0.020691,20260829
1,128,workspace_fresh,12,1,0.027042,20260829
1,128,workspace_reuse,12,2,0.022075,20260829
1,128,workspace_fresh,13,0,0.027156,20260829
1,128,workspace_reuse,13,1,0.023248,20260829
1,128,warp_wrapper,13,2,0.032833,20260829
1,128,workspace_reuse,14,0,0.022441,20260829
1,128,warp_wrapper,14,1,0.022206,20260829
1,128,workspace_fresh,14,2,0.026963,20260829
1,128,warp_wrapper,15,0,0.021379,20260829
1,128,workspace_fresh,15,1,0.02642,20260829
1,128,workspace_reuse,15,2,0.021664,20260829
1,128,workspace_fresh,16,0,0.026591,20260829
1,128,workspace_reuse,16,1,0.022972,20260829
1,128,warp_wrapper,16,2,0.021477,20260829
1,128,workspace_reuse,17,0,0.02289,20260829
1,128,warp_wrapper,17,1,0.021053,20260829
1,128,workspace_fresh,17,2,0.0285,20260829
1,128,warp_wrapper,18,0,0.020837,20260829
1,128,workspace_fresh,18,1,0.027139,20260829
1,128,workspace_reuse,18,2,0.022096,20260829
1,128,workspace_fresh,19,0,0.026618,20260829
1,128,workspace_reuse,19,1,0.022604,20260829
1,128,warp_wrapper,19,2,0.024009,20260829
1,128,workspace_reuse,20,0,0.024721,20260829
1,128,warp_wrapper,20,1,0.022337,20260829
1,128,workspace_fresh,20,2,0.026044,20260829
7,37,warp_wrapper,0,0,0.023903,20260829
7,37,workspace_fresh,0,1,0.027711,20260829
7,37,workspace_reuse,0,2,0.023956,20260829
7,37,workspace_fresh,1,0,0.028432,20260829
7,37,workspace_reuse,1,1,0.024034,20260829
7,37,warp_wrapper,1,2,0.022666,20260829
7,37,workspace_reuse,2,0,0.025124,20260829
7,37,warp_wrapper,2,1,0.022634,20260829
7,37,workspace_fresh,2,2,0.028573,20260829
7,37,warp_wrapper,3,0,0.022929,20260829
7,37,workspace_fresh,3,1,0.029413,20260829
7,37,workspace_reuse,3,2,0.02269,20260829
7,37,workspace_fresh,4,0,0.028422,20260829
7,37,workspace_reuse,4,1,0.023397,20260829
7,37,warp_wrapper,4,2,0.02377,20260829
7,37,workspace_reuse,5,0,0.022973,20260829
7,37,warp_wrapper,5,1,0.02255,20260829
7,37,workspace_fresh,5,2,0.027886,20260829
7,37,warp_wrapper,6,0,0.049285,20260829
7,37,workspace_fresh,6,1,0.030401,20260829
7,37,workspace_reuse,6,2,0.030195,20260829
7,37,workspace_fresh,7,0,0.029817,20260829
7,37,workspace_reuse,7,1,0.024261,20260829
7,37,warp_wrapper,7,2,0.030214,20260829
7,37,workspace_reuse,8,0,0.023677,20260829
7,37,warp_wrapper,8,1,0.02722,20260829
7,37,workspace_fresh,8,2,0.030263,20260829
7,37,warp_wrapper,9,0,0.024016,20260829
7,37,workspace_fresh,9,1,0.028503,20260829
7,37,workspace_reuse,9,2,0.022465,20260829
7,37,workspace_fresh,10,0,0.028242,20260829
7,37,workspace_reuse,10,1,0.022879,20260829
7,37,warp_wrapper,10,2,0.023192,20260829
7,37,workspace_reuse,11,0,0.022202,20260829
7,37,warp_wrapper,11,1,0.023348,20260829
7,37,workspace_fresh,11,2,0.028266,20260829
7,37,warp_wrapper,12,0,0.022943,20260829
7,37,workspace_fresh,12,1,0.032611,20260829
7,37,workspace_reuse,12,2,0.023166,20260829
7,37,workspace_fresh,13,0,0.028047,20260829
7,37,workspace_reuse,13,1,0.023531,20260829
7,37,warp_wrapper,13,2,0.022674,20260829
7,37,workspace_reuse,14,0,0.023335,20260829
7,37,warp_wrapper,14,1,0.028089,20260829
7,37,workspace_fresh,14,2,0.031767,20260829
7,37,warp_wrapper,15,0,0.022092,20260829
7,37,workspace_fresh,15,1,0.02852,20260829
7,37,workspace_reuse,15,2,0.0225,20260829
7,37,workspace_fresh,16,0,0.029401,20260829
7,37,workspace_reuse,16,1,0.022546,20260829
7,37,warp_wrapper,16,2,0.023672,20260829
7,37,workspace_reuse,17,0,0.022644,20260829
7,37,warp_wrapper,17,1,0.022855,20260829
7,37,workspace_fresh,17,2,0.028397,20260829
7,37,warp_wrapper,18,0,0.022975,20260829
7,37,workspace_fresh,18,1,0.028235,20260829
7,37,workspace_reuse,18,2,0.029865,20260829
7,37,workspace_fresh,19,0,0.030561,20260829
7,37,workspace_reuse,19,1,0.022681,20260829
7,37,warp_wrapper,19,2,0.02362,20260829
7,37,workspace_reuse,20,0,0.023189,20260829
7,37,warp_wrapper,20,1,0.02295,20260829
7,37,workspace_fresh,20,2,0.028419,20260829
1024,128,warp_wrapper,0,0,0.268136,20260829
1024,128,workspace_fresh,0,1,0.258065,20260829
1024,128,workspace_reuse,0,2,0.268774,20260829
1024,128,workspace_fresh,1,0,0.269756,20260829
1024,128,workspace_reuse,1,1,0.260572,20260829
1024,128,warp_wrapper,1,2,0.265398,20260829
1024,128,workspace_reuse,2,0,0.271039,20260829
1024,128,warp_wrapper,2,1,0.269239,20260829
1024,128,workspace_fresh,2,2,0.249337,20260829
1024,128,warp_wrapper,3,0,0.267076,20260829
1024,128,workspace_fresh,3,1,0.254903,20260829
1024,128,workspace_reuse,3,2,0.273976,20260829
1024,128,workspace_fresh,4,0,0.268369,20260829
1024,128,workspace_reuse,4,1,0.25919,20260829
1024,128,warp_wrapper,4,2,0.255089,20260829
1024,128,workspace_reuse,5,0,0.266731,20260829
1024,128,warp_wrapper,5,1,0.275586,20260829
1024,128,workspace_fresh,5,2,0.248639,20260829
1024,128,warp_wrapper,6,0,0.272291,20260829
1024,128,workspace_fresh,6,1,0.247639,20260829
1024,128,workspace_reuse,6,2,0.269326,20260829
1024,128,workspace_fresh,7,0,0.269622,20260829
1024,128,workspace_reuse,7,1,0.257539,20260829
1024,128,warp_wrapper,7,2,0.253301,20260829
1024,128,workspace_reuse,8,0,0.274667,20260829
1024,128,warp_wrapper,8,1,0.268409,20260829
1024,128,workspace_fresh,8,2,0.249228,20260829
1024,128,warp_wrapper,9,0,0.267466,20260829
1024,128,workspace_fresh,9,1,0.253171,20260829
1024,128,workspace_reuse,9,2,0.269651,20260829
1024,128,workspace_fresh,10,0,0.266916,20260829
1024,128,workspace_reuse,10,1,0.259506,20260829
1024,128,warp_wrapper,10,2,0.2583,20260829
1024,128,workspace_reuse,11,0,0.267559,20260829
1024,128,warp_wrapper,11,1,0.277098,20260829
1024,128,workspace_fresh,11,2,0.248573,20260829
1024,128,warp_wrapper,12,0,0.271445,20260829
1024,128,workspace_fresh,12,1,0.269225,20260829
1024,128,workspace_reuse,12,2,0.270966,20260829
1024,128,workspace_fresh,13,0,0.273782,20260829
1024,128,workspace_reuse,13,1,0.292738,20260829
1024,128,warp_wrapper,13,2,0.258603,20260829
1024,128,workspace_reuse,14,0,0.270209,20260829
1024,128,warp_wrapper,14,1,0.266861,20260829
1024,128,workspace_fresh,14,2,0.253391,20260829
1024,128,warp_wrapper,15,0,0.272598,20260829
1024,128,workspace_fresh,15,1,0.255898,20260829
1024,128,workspace_reuse,15,2,0.259872,20260829
1024,128,workspace_fresh,16,0,0.267348,20260829
1024,128,workspace_reuse,16,1,0.265405,20260829
1024,128,warp_wrapper,16,2,0.248898,20260829
1024,128,workspace_reuse,17,0,0.259854,20260829
1024,128,warp_wrapper,17,1,0.268981,20260829
1024,128,workspace_fresh,17,2,0.248248,20260829
1024,128,warp_wrapper,18,0,0.305753,20260829
1024,128,workspace_fresh,18,1,0.258341,20260829
1024,128,workspace_reuse,18,2,0.261484,20260829
1024,128,workspace_fresh,19,0,0.277725,20260829
1024,128,workspace_reuse,19,1,0.266055,20260829
1024,128,warp_wrapper,19,2,0.248311,20260829
1024,128,workspace_reuse,20,0,0.260212,20260829
1024,128,warp_wrapper,20,1,0.278449,20260829
1024,128,workspace_fresh,20,2,0.25197,20260829
1024,257,warp_wrapper,0,0,0.766974,20260829
1024,257,workspace_fresh,0,1,0.844115,20260829
1024,257,workspace_reuse,0,2,0.516281,20260829
1024,257,workspace_fresh,1,0,0.83356,20260829
1024,257,workspace_reuse,1,1,0.506987,20260829
1024,257,warp_wrapper,1,2,0.869112,20260829
1024,257,workspace_reuse,2,0,0.530222,20260829
1024,257,warp_wrapper,2,1,0.765239,20260829
1024,257,workspace_fresh,2,2,0.780868,20260829
1024,257,warp_wrapper,3,0,0.758801,20260829
1024,257,workspace_fresh,3,1,0.844273,20260829
1024,257,workspace_reuse,3,2,0.512394,20260829
1024,257,workspace_fresh,4,0,0.712484,20260829
1024,257,workspace_reuse,4,1,0.522649,20260829
1024,257,warp_wrapper,4,2,0.755079,20260829
1024,257,workspace_reuse,5,0,0.518904,20260829
1024,257,warp_wrapper,5,1,0.737534,20260829
1024,257,workspace_fresh,5,2,0.723218,20260829
1024,257,warp_wrapper,6,0,0.724668,20260829
1024,257,workspace_fresh,6,1,0.733047,20260829
1024,257,workspace_reuse,6,2,0.519184,20260829
1024,257,workspace_fresh,7,0,0.71091,20260829
1024,257,workspace_reuse,7,1,0.518376,20260829
1024,257,warp_wrapper,7,2,0.733054,20260829
1024,257,workspace_reuse,8,0,0.514711,20260829
1024,257,warp_wrapper,8,1,0.760384,20260829
1024,257,workspace_fresh,8,2,0.762118,20260829
1024,257,warp_wrapper,9,0,0.714629,20260829
1024,257,workspace_fresh,9,1,0.766025,20260829
1024,257,workspace_reuse,9,2,0.518549,20260829
1024,257,workspace_fresh,10,0,0.745775,20260829
1024,257,workspace_reuse,10,1,0.511933,20260829
1024,257,warp_wrapper,10,2,0.755179,20260829
1024,257,workspace_reuse,11,0,0.514204,20260829
1024,257,warp_wrapper,11,1,0.764923,20260829
1024,257,workspace_fresh,11,2,0.765658,20260829
1024,257,warp_wrapper,12,0,0.780727,20260829
1024,257,workspace_fresh,12,1,0.767205,20260829
1024,257,workspace_reuse,12,2,0.518252,20260829
1024,257,workspace_fresh,13,0,0.768897,20260829
1024,257,workspace_reuse,13,1,0.515209,20260829
1024,257,warp_wrapper,13,2,0.753087,20260829
1024,257,workspace_reuse,14,0,0.515412,20260829
1024,257,warp_wrapper,14,1,0.847726,20260829
1024,257,workspace_fresh,14,2,1.020424,20260829
1024,257,warp_wrapper,15,0,0.7713,20260829
1024,257,workspace_fresh,15,1,0.82237,20260829
1024,257,workspace_reuse,15,2,0.654974,20260829
1024,257,workspace_fresh,16,0,0.781754,20260829
1024,257,workspace_reuse,16,1,0.521937,20260829
1024,257,warp_wrapper,16,2,0.849961,20260829
1024,257,workspace_reuse,17,0,0.523212,20260829
1024,257,warp_wrapper,17,1,0.766093,20260829
1024,257,workspace_fresh,17,2,0.770071,20260829
1024,257,warp_wrapper,18,0,0.760835,20260829
1024,257,workspace_fresh,18,1,0.766246,20260829
1024,257,workspace_reuse,18,2,0.616309,20260829
1024,257,workspace_fresh,19,0,0.7864,20260829
1024,257,workspace_reuse,19,1,0.521101,20260829
1024,257,warp_wrapper,19,2,0.853355,20260829
1024,257,workspace_reuse,20,0,0.525527,20260829
1024,257,warp_wrapper,20,1,0.765298,20260829
1024,257,workspace_fresh,20,2,0.773181,20260829
1024,512,warp_wrapper,0,0,1.241316,20260829
1024,512,workspace_fresh,0,1,1.249262,20260829
1024,512,workspace_reuse,0,2,0.997531,20260829
1024,512,workspace_fresh,1,0,1.247934,20260829
1024,512,workspace_reuse,1,1,0.997629,20260829
1024,512,warp_wrapper,1,2,1.238758,20260829
1024,512,workspace_reuse,2,0,1.002143,20260829
1024,512,warp_wrapper,2,1,1.247589,20260829
1024,512,workspace_fresh,2,2,1.23693,20260829
1024,512,warp_wrapper,3,0,1.229504,20260829
1024,512,workspace_fresh,3,1,1.243763,20260829
1024,512,workspace_reuse,3,2,0.992594,20260829
1024,512,workspace_fresh,4,0,1.295776,20260829
1024,512,workspace_reuse,4,1,1.004146,20260829
1024,512,warp_wrapper,4,2,1.231906,20260829
1024,512,workspace_reuse,5,0,0.988384,20260829
1024,512,warp_wrapper,5,1,1.234307,20260829
1024,512,workspace_fresh,5,2,1.242712,20260829
1024,512,warp_wrapper,6,0,1.225585,20260829
1024,512,workspace_fresh,6,1,1.23008,20260829
1024,512,workspace_reuse,6,2,0.988148,20260829
1024,512,workspace_fresh,7,0,1.245184,20260829
1024,512,workspace_reuse,7,1,0.986447,20260829
1024,512,warp_wrapper,7,2,1.318323,20260829
1024,512,workspace_reuse,8,0,0.993794,20260829
1024,512,warp_wrapper,8,1,1.248355,20260829
1024,512,workspace_fresh,8,2,1.234392,20260829
1024,512,warp_wrapper,9,0,1.281709,20260829
1024,512,workspace_fresh,9,1,1.243949,20260829
1024,512,workspace_reuse,9,2,0.992429,20260829
1024,512,workspace_fresh,10,0,1.239177,20260829
1024,512,workspace_reuse,10,1,0.990551,20260829
1024,512,warp_wrapper,10,2,1.252151,20260829
1024,512,workspace_reuse,11,0,0.992104,20260829
1024,512,warp_wrapper,11,1,1.230808,20260829
1024,512,workspace_fresh,11,2,1.277555,20260829
1024,512,warp_wrapper,12,0,1.26807,20260829
1024,512,workspace_fresh,12,1,1.265672,20260829
1024,512,workspace_reuse,12,2,0.988112,20260829
1024,512,workspace_fresh,13,0,1.244749,20260829
1024,512,workspace_reuse,13,1,0.995759,20260829
1024,512,warp_wrapper,13,2,1.232126,20260829
1024,512,workspace_reuse,14,0,1.006021,20260829
1024,512,warp_wrapper,14,1,1.236127,20260829
1024,512,workspace_fresh,14,2,1.254796,20260829
1024,512,warp_wrapper,15,0,1.227938,20260829
1024,512,workspace_fresh,15,1,1.232108,20260829
1024,512,workspace_reuse,15,2,0.99511,20260829
1024,512,workspace_fresh,16,0,1.249741,20260829
1024,512,workspace_reuse,16,1,0.976078,20260829
1024,512,warp_wrapper,16,2,1.229466,20260829
1024,512,workspace_reuse,17,0,0.987583,20260829
1024,512,warp_wrapper,17,1,1.222592,20260829
1024,512,workspace_fresh,17,2,1.233101,20260829
1024,512,warp_wrapper,18,0,1.238337,20260829
1024,512,workspace_fresh,18,1,1.232478,20260829
1024,512,workspace_reuse,18,2,0.986696,20260829
1024,512,workspace_fresh,19,0,1.266921,20260829
1024,512,workspace_reuse,19,1,1.000976,20260829
1024,512,warp_wrapper,19,2,1.236406,20260829
1024,512,workspace_reuse,20,0,0.99148,20260829
1024,512,warp_wrapper,20,1,1.229443,20260829
1024,512,workspace_fresh,20,2,1.236514,20260829
1024,1024,warp_wrapper,0,0,1.928985,20260829
1024,1024,workspace_fresh,0,1,1.895166,20260829
1024,1024,workspace_reuse,0,2,1.623997,20260829
1024,1024,workspace_fresh,1,0,1.962398,20260829
1024,1024,workspace_reuse,1,1,1.596853,20260829
1024,1024,warp_wrapper,1,2,2.007174,20260829
1024,1024,workspace_reuse,2,0,1.651351,20260829
1024,1024,warp_wrapper,2,1,2.020435,20260829
1024,1024,workspace_fresh,2,2,1.951691,20260829
1024,1024,warp_wrapper,3,0,2.055407,20260829
