rows,cols,implementation,dispatch,scope,sample,order_slot,launches,elapsed_ms,seed
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,11,2,100,0.00254016011953,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,11,0,1,0.022639,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,11,1,1,0.021504,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,11,2,1,0.021768,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,12,0,100,0.00307615995407,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,12,1,100,0.00254911988974,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,12,2,100,0.00242111995816,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,12,0,1,0.025516,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,12,1,1,0.021652,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,12,2,1,0.022033,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,13,0,100,0.00255327999592,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,13,1,100,0.00236128002405,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,13,2,100,0.00306080013514,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,13,0,1,0.023125,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,13,1,1,0.021743,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,13,2,1,0.031758,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,14,0,100,0.00238143995404,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,14,1,100,0.00305536001921,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,14,2,100,0.00254400014877,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,14,0,1,0.024703,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,14,1,1,0.023113,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,14,2,1,0.021315,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,15,0,100,0.00307743996382,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,15,1,100,0.00252799987793,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,15,2,100,0.00236064001918,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,15,0,1,0.024103,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,15,1,1,0.030324,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,15,2,1,0.028092,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,16,0,100,0.00255775988102,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,16,1,100,0.002376639992,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,16,2,100,0.00305568009615,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,16,0,1,0.02346,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,16,1,1,0.02197,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,16,2,1,0.02262,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,17,0,100,0.00240319997072,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,17,1,100,0.00306560009718,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,17,2,100,0.00254464000463,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,17,0,1,0.024471,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,17,1,1,0.024468,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,17,2,1,0.021841,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,18,0,100,0.0030825600028,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,18,1,100,0.00254272013903,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,18,2,100,0.00237823992968,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,18,0,1,0.025133,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,18,1,1,0.021784,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,18,2,1,0.021911,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,19,0,100,0.00254624009132,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,19,1,100,0.00237407997251,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,19,2,100,0.00306688010693,20260829
1,128,cuda_block_shuffle,block_shuffle256,end_to_end_wall,19,0,1,0.024176,20260829
1,128,cuda_warp_register,warp_reg4,end_to_end_wall,19,1,1,0.022198,20260829
1,128,cuda_naive,block_shared256,end_to_end_wall,19,2,1,0.022238,20260829
1,128,cuda_warp_register,warp_reg4,batched_event_per_launch,20,0,100,0.00240191996098,20260829
1,128,cuda_naive,block_shared256,batched_event_per_launch,20,1,100,0.00305536001921,20260829
1,128,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,20,2,100,0.00261536002159,20260829
