rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,15,0,0.0446494668722,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,15,1,0.0397004187107,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,16,0,0.043136999011,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,16,1,0.0583194196224,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,17,0,0.0564865767956,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,17,1,0.0504292547703,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,18,0,0.0430438667536,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,18,1,0.0457521528006,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,19,0,0.0430271029472,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,19,1,0.0407416373491,20260829
1,128,torch_softmax,cpu_to_cuda_to_cpu_wall,20,0,0.0380165874958,20260829
1,128,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,20,1,0.0449325889349,20260829
7,37,torch_softmax,resident_cuda_event_per_call,0,0,0.00605023980141,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,0,1,0.00688768029213,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,1,0,0.00675231993198,20260829
7,37,torch_softmax,resident_cuda_event_per_call,1,1,0.00625216007233,20260829
7,37,torch_softmax,resident_cuda_event_per_call,2,0,0.00888320028782,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,2,1,0.00713087975979,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,3,0,0.00700479984283,20260829
7,37,torch_softmax,resident_cuda_event_per_call,3,1,0.00646016001701,20260829
7,37,torch_softmax,resident_cuda_event_per_call,4,0,0.00606208026409,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,4,1,0.00692480027676,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,5,0,0.00799296021461,20260829
7,37,torch_softmax,resident_cuda_event_per_call,5,1,0.00781728029251,20260829
7,37,torch_softmax,resident_cuda_event_per_call,6,0,0.00618816018105,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,6,1,0.00693216025829,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,7,0,0.00681119978428,20260829
7,37,torch_softmax,resident_cuda_event_per_call,7,1,0.006057279706,20260829
7,37,torch_softmax,resident_cuda_event_per_call,8,0,0.00608223974705,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,8,1,0.0077481597662,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,9,0,0.00671136021614,20260829
7,37,torch_softmax,resident_cuda_event_per_call,9,1,0.00610624015331,20260829
7,37,torch_softmax,resident_cuda_event_per_call,10,0,0.00624383985996,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,10,1,0.00781311988831,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,11,0,0.00673536002636,20260829
7,37,torch_softmax,resident_cuda_event_per_call,11,1,0.00601760029793,20260829
7,37,torch_softmax,resident_cuda_event_per_call,12,0,0.00591679990292,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,12,1,0.00804895997047,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,13,0,0.00762719988823,20260829
7,37,torch_softmax,resident_cuda_event_per_call,13,1,0.00614175975323,20260829
7,37,torch_softmax,resident_cuda_event_per_call,14,0,0.00616191983223,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,14,1,0.00692704021931,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,15,0,0.00673152029514,20260829
7,37,torch_softmax,resident_cuda_event_per_call,15,1,0.00626720011234,20260829
7,37,torch_softmax,resident_cuda_event_per_call,16,0,0.00627008020878,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,16,1,0.00676032006741,20260829
7,37,kernel_lab_custom,resident_cuda_event_per_call,17,0,0.00677375972271,20260829
7,37,torch_softmax,resident_cuda_event_per_call,17,1,0.00604224026203,20260829
7,37,torch_softmax,resident_cuda_event_per_call,18,0,0.00600192010403,20260829
