rows,cols,implementation,dispatch,scope,median_ms,min_ms,max_ms,baseline_speedup,max_abs_error,atol,rtol,warmup,repeats,launches,seed,correctness
1024,1024,cuda_warp_register,warp_reg32,end_to_end_wall,2.546232,2.300252,2.86334,1.0079847398,9.31322574615e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,2048,cuda_naive,block_shared256,batched_event_per_launch,0.0417638397217,0.0416310405731,0.0419708776474,1,4.65661287308e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,2048,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,0.0415583992004,0.0414300823212,0.0418505620956,1.00494341758,4.65661287308e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,2048,cuda_warp_register,block_shuffle256_fallback,batched_event_per_launch,0.041529917717,0.0414524793625,0.0418294382095,1.00563261421,4.65661287308e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,2048,cuda_naive,block_shared256,end_to_end_wall,4.89669,4.372012,5.252798,1,4.65661287308e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,2048,cuda_block_shuffle,block_shuffle256,end_to_end_wall,4.861325,4.344282,6.206328,1.00727476562,4.65661287308e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,2048,cuda_warp_register,block_shuffle256_fallback,end_to_end_wall,4.83259,4.338923,6.122347,1.01326410889,4.65661287308e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,4097,cuda_naive,block_shared256,batched_event_per_launch,0.155648317337,0.155313282013,0.156075201035,1,2.32830643654e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,4097,cuda_block_shuffle,block_shuffle256,batched_event_per_launch,0.154614400864,0.154343357086,0.155335035324,1.00668706451,2.32830643654e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,4097,cuda_warp_register,block_shuffle256_fallback,batched_event_per_launch,0.154605436325,0.15413599968,0.155512962341,1.00674543559,2.32830643654e-10,2e-6,2e-5,5,21,100,20260829,PASS
1024,4097,cuda_naive,block_shared256,end_to_end_wall,10.008182,9.359796,10.514424,1,2.32830643654e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,4097,cuda_block_shuffle,block_shuffle256,end_to_end_wall,9.912128,9.333432,10.940553,1.00969055283,2.32830643654e-10,2e-6,2e-5,5,21,1,20260829,PASS
1024,4097,cuda_warp_register,block_shuffle256_fallback,end_to_end_wall,9.991915,9.23634,10.584438,1.00162801625,2.32830643654e-10,2e-6,2e-5,5,21,1,20260829,PASS
