rows,cols,implementation,median_ms,min_ms,max_ms,speedup_vs_wrapper,speedup_vs_fresh,max_abs_error,atol,rtol,warmup,repeats,seed,correctness
1,128,warp_wrapper,0.021612,0.02079,0.022545,1,1.241301129,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
1,128,workspace_fresh,0.026827,0.026255,0.034649,0.805606292168,1,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
1,128,workspace_reuse,0.022506,0.021734,0.027249,0.960277259397,1.19199324625,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
7,37,warp_wrapper,0.022917,0.02247,0.029233,1,1.24449098922,1.49011611938e-08,2e-6,2e-5,5,21,20260829,PASS
7,37,workspace_fresh,0.02852,0.027518,0.037086,0.803541374474,1,1.49011611938e-08,2e-6,2e-5,5,21,20260829,PASS
7,37,workspace_reuse,0.023029,0.022339,0.027705,0.995136566937,1.2384384906,1.49011611938e-08,2e-6,2e-5,5,21,20260829,PASS
1024,128,warp_wrapper,0.284754,0.272281,0.407258,1,1.13678473349,7.45058059692e-09,2e-6,2e-5,5,21,20260829,PASS
1024,128,workspace_fresh,0.323704,0.276875,0.33096,0.879674023182,1,7.45058059692e-09,2e-6,2e-5,5,21,20260829,PASS
1024,128,workspace_reuse,0.271133,0.264423,0.286913,1.0502373374,1.19389377169,7.45058059692e-09,2e-6,2e-5,5,21,20260829,PASS
1024,257,warp_wrapper,0.796033,0.722475,1.069459,1,0.992976421832,3.72529029846e-09,2e-6,2e-5,5,21,20260829,PASS
1024,257,workspace_fresh,0.790442,0.731739,1.128346,1.00707325775,1,3.72529029846e-09,2e-6,2e-5,5,21,20260829,PASS
1024,257,workspace_reuse,0.526771,0.479228,0.66516,1.51115570143,1.50054198124,3.72529029846e-09,2e-6,2e-5,5,21,20260829,PASS
1024,512,warp_wrapper,1.11196,1.087914,1.248145,1,1.01108942768,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
1024,512,workspace_fresh,1.124291,1.090916,1.490825,0.989032198959,1,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
1024,512,workspace_reuse,0.860381,0.83815,0.991597,1.29240417908,1.30673620175,1.86264514923e-09,2e-6,2e-5,5,21,20260829,PASS
1024,1024,warp_wrapper,1.856237,1.789265,1.897149,1,1.00241402364,9.31322574615e-10,2e-6,2e-5,5,21,20260829,PASS
1024,1024,workspace_fresh,1.860718,1.804193,2.057818,0.997591789836,1,9.31322574615e-10,2e-6,2e-5,5,21,20260829,PASS
1024,1024,workspace_reuse,1.495185,1.462398,1.547673,1.24147647281,1.24447342637,9.31322574615e-10,2e-6,2e-5,5,21,20260829,PASS
1024,2048,warp_wrapper,3.624571,3.496298,3.755734,1,1.01029777041,4.65661287308e-10,2e-6,2e-5,5,21,20260829,PASS
1024,2048,workspace_fresh,3.661896,3.528321,4.870642,0.989807192777,1,4.65661287308e-10,2e-6,2e-5,5,21,20260829,PASS
1024,2048,workspace_reuse,3.11684,3.026824,3.253812,1.16289928261,1.17487455243,4.65661287308e-10,2e-6,2e-5,5,21,20260829,PASS
1024,4097,warp_wrapper,7.765287,7.435175,8.599993,1,0.999492356174,2.32830643654e-10,2e-6,2e-5,5,21,20260829,PASS
1024,4097,workspace_fresh,7.761345,7.469108,8.207861,1.00050790166,1,2.32830643654e-10,2e-6,2e-5,5,21,20260829,PASS
1024,4097,workspace_reuse,6.902064,6.754674,7.942961,1.12506737115,1.12449623765,2.32830643654e-10,2e-6,2e-5,5,21,20260829,PASS
